sample id,signal strength,attention,meditation,delta,theta,low alpha,high alpha,low beta,high beta,low gamma,high gamma
114,0,17,54,146513,96271,8615,16200,13049,4399,1701,1055
115,0,26,27,20513,21341,5769,423,8478,2695,2262,1035
116,0,47,21,55436,8294,2636,627,4365,5160,2115,1089
117,0,51,24,33070,21606,10476,20677,1955,4365,2264,1264
118,0,63,41,48382,17030,27739,10782,6295,7075,2393,850
119,0,66,50,9283,21900,9324,8414,7464,5441,1218,2451
120,0,51,70,126100,14883,28950,10016,2738,5591,1158,3045
121,0,64,64,17808,8743,4314,12256,13519,8597,1794,1925
122,0,54,50,15835,46210,5893,10392,4454,3013,1384,502
123,0,44,41,199117,94715,7766,12930,6257,6466,1744,3612
124,0,40,23,91375,60176,5442,13237,2169,4172,1211,1034
125,0,23,26,24091,19196,24176,5431,17490,3014,1416,1497
126,0,41,37,6818,10630,7572,11503,4426,8970,2127,1236
127,0,47,48,9308,27208,23630,4586,11345,5049,2072,977
128,0,44,64,9947,42998,70301,5152,3920,5253,1577,1640
129,0,47,60,5408,40685,12068,11046,7290,4895,1120,884
130,0,34,50,47279,91803,21980,8702,5556,8748,1082,1050
131,0,34,56,40923,12991,7200,18290,4103,3331,1802,1107
132,0,38,50,323627,9532,5443,3036,1677,1521,485,418
133,0,41,54,35364,18219,17508,7512,8537,4003,3150,1194
134,0,47,54,19260,30638,4361,7969,8770,5499,903,2066
135,0,40,51,29171,22678,16997,14132,7355,2416,2059,1653
136,0,54,41,12264,18270,4432,3759,6663,10453,2100,1115
137,0,47,51,33171,17500,23381,29159,2433,2683,1206,960
138,0,43,63,52782,14162,15605,7356,4109,3362,2060,1227
139,0,47,64,78500,17231,29115,10009,11268,3453,2276,1633
140,0,30,91,66009,10809,52972,17590,3370,7051,724,1278
141,0,35,77,87780,32190,8975,8418,2848,2568,797,922
142,0,40,75,17533,47041,18752,47415,5098,16586,2533,1401
143,0,48,60,15661,23460,5698,3198,8805,4685,2476,597
144,0,50,51,32579,11898,11571,19580,5354,4279,1074,893
145,0,54,56,331499,19800,13554,9312,5657,3371,2390,1306
146,0,47,47,59005,46588,12017,8141,7937,4712,1804,3320
147,0,44,48,13761,39946,5065,10205,3676,6831,1772,2118
148,0,43,41,17480,30362,24666,5633,5140,5477,1737,1027
149,0,43,43,17083,18115,9925,11001,2722,3394,1178,1378
150,0,40,56,169595,20040,26288,8813,3966,2771,1106,1815
151,0,40,64,142220,12003,3282,10557,4701,3079,1504,979
152,0,34,70,59756,21533,13680,40126,12941,3231,1320,3107
153,0,23,61,232830,141743,38669,14815,6789,6183,3079,745
154,0,38,47,36260,14679,3588,2133,3056,4229,948,1397
155,0,37,38,22915,27997,6037,3955,2778,3986,1731,1098
156,0,48,34,15651,17211,11196,10024,3613,5051,1822,986
157,0,60,41,44943,16676,8689,13706,1744,4580,1472,2156
158,0,53,57,13976,9400,27230,2898,6561,4389,2611,2020
159,0,53,57,29406,26537,8890,2216,6092,4539,2150,1545
160,0,50,54,25203,21018,7891,8659,4497,3199,1993,1633
161,0,56,48,18007,11288,2221,9090,9133,6130,1290,957
162,0,53,34,8716,18348,3455,6961,11855,2390,2352,835
163,0,53,43,28581,17972,11479,5516,4070,3789,2184,1672
164,0,57,37,29499,15684,2724,4153,4961,3203,1131,1095
165,0,44,41,40984,21510,15404,11803,9098,3230,1981,1154
166,0,53,34,35256,29586,1686,3786,2468,6290,4489,593
167,0,51,37,31526,14173,8639,13337,4382,3162,1622,1189
168,0,37,37,118877,58240,12022,7380,2889,2225,755,588
169,0,40,41,570242,38629,47706,49732,21095,13436,2357,1359
170,0,24,53,35679,20644,7745,3380,2101,1161,699,587
171,0,34,43,163167,56463,5020,24480,9277,20023,3154,1120
172,0,27,40,47737,61902,2501,12509,3997,1403,1983,1419
173,0,27,38,9463,9956,8165,14241,5822,3303,2937,1686
174,0,41,40,165543,20992,7577,13295,6897,5786,4775,1870
175,0,34,37,32588,27645,4653,3778,8896,3404,1964,2708
176,0,47,41,64596,35967,9867,9207,9814,3690,1995,2365
177,0,50,27,1525186,380607,54178,93895,94186,75017,37514,4988
178,0,56,20,2671391,64324,21722,10196,52662,28616,9661,4473
179,0,51,26,1179545,22715,6161,8342,5084,2103,697,569
180,0,47,14,141355,103663,8896,2721,1683,4776,3705,6263
181,0,40,10,145684,150911,16701,13117,30137,12777,7161,8008
182,0,21,3,404512,95560,8685,5707,17489,4296,2018,3587
183,0,26,1,44234,46365,8961,17113,11313,6876,1303,757
184,0,23,17,59214,63202,35780,13544,12032,3324,2983,386
185,0,23,34,67675,38944,29079,12090,8956,5466,1494,2986
186,0,30,44,19938,16714,8417,1834,6658,2893,588,1792
187,0,37,43,15230,20693,8140,3276,8236,5567,3240,1565
188,0,47,38,187287,77565,25400,9593,12493,8226,9221,3676
189,0,50,30,188985,14895,2758,3664,1381,2021,414,463
190,0,50,37,69813,15620,4941,10652,3040,3225,2008,2885
191,0,53,41,81753,27998,24478,4310,13313,12936,925,1776
192,0,51,44,29009,14226,962,8456,4107,1552,1343,2607
193,0,47,53,38458,36179,25708,9826,4322,4474,1566,1592
194,0,61,35,90844,25577,3781,3684,17931,14831,3063,1311
195,0,50,35,45561,45262,25421,3832,9888,5210,3259,2218
196,0,56,37,76183,42785,16508,21887,10063,11921,1554,1318
197,0,56,48,50712,15482,20939,46731,2501,4805,1053,1348
198,0,43,63,43589,29646,17236,17236,27113,7492,1596,858
199,0,43,67,249079,33282,17634,22486,6256,4697,1682,1701
200,0,41,57,84996,25948,4485,3480,13871,3980,5076,2558
201,0,41,48,73414,38688,41987,16458,6211,5846,4146,1455
202,0,34,51,20382,45355,42346,13901,17634,4847,2691,1418
203,0,34,38,259296,97851,4042,20550,13166,7715,2899,2148
204,0,35,60,78278,6314,29010,3775,6008,4689,1556,1555
205,0,27,63,32429,34248,43634,23472,5766,3169,3111,1476
206,0,24,56,59511,65950,15465,12695,11497,3362,1225,1801
207,0,20,56,38702,126852,30425,5752,17139,6432,1011,1215
208,0,17,48,174582,22036,8768,22266,13911,5395,2348,1206
209,0,29,34,130091,33621,10513,3412,2160,4623,1319,2115
210,0,35,34,114093,13381,3180,3490,2160,1096,346,507
211,0,43,34,38778,30815,4610,6351,13725,3890,1160,948
212,0,41,27,138261,11544,1292,7184,5653,1734,379,318
213,0,34,24,25605,48694,9539,4110,4406,3172,1610,1481
214,0,35,26,40879,50455,12928,15473,7960,4830,1731,1062
215,0,24,38,60923,74181,66230,6198,8459,4716,2026,1450
216,0,30,48,43904,7882,10587,11119,4561,5287,2900,1553
217,0,29,61,13478,51740,46096,17433,4656,5106,2771,1026
218,0,24,64,46485,34161,3223,24471,5946,2370,2043,1351
219,0,29,60,52704,17470,6222,5526,3628,1848,1099,537
220,0,24,64,58649,4109,16344,9569,6785,3180,1284,977
221,0,34,53,44101,67744,9282,16389,9073,9051,2898,2218
222,0,50,53,6174,9510,8605,2764,2023,4520,1405,1122
223,0,48,50,35603,69439,20895,7691,6541,4689,1996,1560
224,0,47,43,321232,47959,31360,29852,13158,8655,2809,1998
225,0,41,40,364359,75511,14592,4003,6574,5526,2691,1246
226,0,24,48,515450,47334,93948,3963,8564,5230,2072,2968
227,0,27,44,51993,50070,12042,7078,10270,5308,1266,1270
228,0,14,29,425071,115594,21083,2275,8799,3230,1914,1955
229,0,20,29,65112,68951,15468,6814,13460,9112,2402,1764
230,0,29,16,33404,30237,1263,13476,4924,3874,2172,1874
231,0,17,17,52344,190248,41078,21564,6749,5646,2282,2338
232,0,35,34,10862,33187,28202,8704,4905,8884,1476,1279
233,0,34,51,26068,24238,71806,14319,20622,8590,1905,1446
234,0,21,48,256020,275932,29550,49795,24393,10541,2502,2381
235,0,37,50,185777,59573,25670,9418,13804,9306,1137,1901
236,0,24,40,85970,115968,15908,25030,9525,5359,2320,1416
237,0,21,27,110268,70451,31732,17216,29023,7593,2615,2759
238,0,38,41,13660,7937,16729,4638,5866,5513,2837,1411
239,0,27,27,196333,203492,15393,7703,11192,8138,3024,2105
240,0,35,34,166471,56794,21297,12145,13739,6239,1101,2141
241,0,40,30,44660,46076,7416,19652,21142,6958,2031,1969
242,0,29,26,216605,50110,28785,16115,7123,5839,2797,2707
243,0,38,41,102662,38026,18508,9630,9122,6220,2800,982
244,0,37,43,156038,50522,23071,18782,9427,5941,5700,1428
245,0,34,47,33399,75423,19300,22507,7784,7867,3238,1008
246,0,29,40,1686890,87075,12696,22015,8899,4613,3206,1785
247,0,30,41,28763,51872,32783,4949,8871,9878,3911,920
248,0,29,40,38763,14888,4135,4926,1988,1087,617,418
249,0,34,44,75644,44858,39744,10345,5155,7770,2697,1845
250,0,43,51,78306,22255,15166,6614,5115,4779,3011,3452
251,0,35,41,47290,101642,14720,10174,10601,6208,846,1346
252,0,27,30,43820,61512,8457,4809,5936,1744,677,296
253,0,11,30,72340,72598,50740,17788,11889,2702,1523,2414
254,0,11,30,33219,49242,24469,23269,5775,10561,2972,1162
255,0,24,44,7583,11144,17568,3458,9577,5302,1474,1547
256,0,44,53,29120,29839,4009,15571,8023,9065,975,1086
257,0,64,51,31154,25919,23202,3261,6355,6290,2637,813
258,0,53,47,41878,84802,19869,19134,2779,4723,2042,865
259,0,44,38,53977,47081,14360,9679,21038,5082,3104,1075
260,0,27,44,58514,53410,43000,13077,5104,4080,2160,1345
261,0,17,51,24403,40258,36372,29562,11049,4229,632,3461
262,0,34,63,13220,13979,27162,18906,8475,9298,2580,1047
263,0,30,80,66582,6448,15209,2079,1579,1394,704,397
264,0,47,66,17751,20055,7938,2364,21908,5203,598,1539
265,0,56,60,44632,56719,25197,25225,11956,13604,2319,2152
266,0,56,54,39419,6823,13508,4104,10868,3702,1041,1639
267,0,69,34,12889,43048,4917,8308,5582,11344,1448,1503
268,0,67,41,29331,32806,18242,4917,8266,7318,2060,4515
269,0,67,43,74200,33039,7529,28139,6557,9160,2281,1659
270,0,54,43,153352,19512,18481,11786,12921,2325,2449,912
271,0,47,43,46896,90167,7497,14302,11167,8891,2387,2094
272,0,43,43,176596,14065,6871,2840,3013,2217,513,489
273,0,43,44,118581,26157,19365,24159,10666,8228,2411,2336
274,0,50,47,68571,18597,14280,22567,11698,5248,2118,1246
275,0,60,60,27896,17820,21664,10184,11345,12195,1999,1540
276,0,75,56,31331,8374,4407,3028,5115,7222,1487,1350
277,0,78,44,80901,22649,4043,5456,3993,5633,3048,581
278,0,90,38,3317,5932,4377,5054,8834,4987,1186,2449
279,0,93,35,34776,9235,5567,5657,4632,5646,2287,848
280,0,69,35,191822,81032,6154,23799,10895,4927,1519,1599
281,0,66,47,23854,10402,20157,3126,7041,4336,1868,1043
282,0,50,40,11392,68769,11804,8224,13079,4793,2075,1494
283,0,34,40,41718,50007,26842,10733,7624,5042,2581,2414
284,0,50,56,20280,7951,7848,24461,2833,9539,1805,1110
285,0,56,50,23622,20778,8342,10287,4983,9909,1265,2201
286,0,60,56,11696,21760,9537,5112,4322,2698,1858,1555
287,0,54,56,18834,61224,23915,17241,14178,3549,4729,1473
288,0,41,43,16089,34960,6311,16076,7494,3988,1242,877
289,0,27,50,34096,14587,12689,9201,4592,2217,3461,897
290,0,38,44,4722,14239,4862,5475,13170,5617,514,1863
291,0,35,37,21083,38801,2586,9634,10267,1256,3419,1708
292,0,35,34,191713,12845,3467,3903,6531,1299,297,725
293,0,30,40,72940,6656,14341,2473,1237,1025,781,259
294,0,17,53,22644,31680,14588,32950,5210,4504,2821,2251
295,0,24,54,61363,66409,8371,10375,1112,3681,1595,1339
296,0,37,54,8736,12661,8721,3362,11023,5317,2073,2309
297,0,60,44,17958,2637,4280,4106,4978,5638,1496,1801
298,0,60,43,180919,34036,23954,12049,6706,3938,1667,1646
299,0,74,50,28807,11128,5895,3643,1894,3382,871,3913
300,0,77,51,39728,26573,8743,13536,8764,12733,3240,1968
301,0,66,53,6758,9730,3335,16538,5919,6596,2137,2056
302,0,69,41,186112,126774,7497,24042,4644,11521,3139,839
303,0,60,47,97923,57835,68858,9448,9695,9321,1439,2769
304,0,43,56,72777,45293,30471,61039,13596,7365,2825,1453
305,0,40,53,29041,22459,18917,5228,6338,6749,1694,1289
306,0,38,69,31410,32950,36775,22920,10014,5329,1040,2485
307,0,47,53,43841,44576,5947,5926,8976,8411,2108,2503
308,0,50,43,74642,78192,28922,8393,3813,8165,686,2677
309,0,41,38,25482,53905,15543,11113,6217,5904,1024,1823
310,0,51,34,44435,9913,2105,12728,5757,3836,2126,1378
311,0,50,48,23813,18421,19398,6387,6285,5372,2704,2487
312,0,60,56,19746,7444,7028,9792,5316,4396,472,874
313,0,64,61,29302,20668,21395,5740,10754,5933,1550,1076
314,0,67,53,60426,14386,2732,4070,3155,4017,2518,1146
315,0,48,50,29909,89106,44898,15697,15452,2924,3130,1625
316,0,37,37,248775,196875,30843,23335,7612,14882,3846,2990
317,0,26,21,95621,93238,6342,9899,2362,5394,4572,1238
318,0,29,26,36852,9521,3829,7986,7427,5190,862,1350
319,0,40,29,22019,39412,36123,7928,9512,4421,2671,1386
320,0,50,38,69314,15505,7944,8016,9465,4672,1961,1394
321,0,54,53,19901,23025,21842,5932,4852,4244,1314,1210
322,0,54,54,39009,7432,10495,14898,21247,8846,2141,2523
323,0,63,53,5305,11769,7513,5303,6240,3220,2295,1261
324,0,50,47,79903,103417,12150,23270,6086,5291,1643,1783
325,0,50,40,16802,33323,12120,14060,22646,5324,2244,1766
326,0,40,37,20685,32783,18252,1165,7678,4369,1914,1293
327,0,37,40,27846,33516,25998,6316,3406,6365,1590,1529
328,0,53,30,14349,22702,1166,3346,3731,6045,2544,1956
329,0,56,38,37145,30872,30334,14416,10283,8579,1384,903
330,0,48,43,200714,91561,58797,16121,4527,6994,2495,4127
331,0,47,35,65365,67258,14618,10784,11318,6721,1719,1833
332,0,38,51,31895,19281,17969,5004,3679,3777,1931,690
333,0,48,41,3929,12074,4476,1665,4167,5527,1377,2058
334,0,54,40,49614,25908,16027,10335,7166,4449,2747,1101
335,0,57,44,44664,39095,12486,16616,13292,7204,1845,2044
336,0,67,37,24611,27895,744,17244,10855,10007,1844,1854
337,0,50,51,8568,35482,53490,5323,6943,4364,1034,1283
338,0,47,48,1816321,158509,15892,69820,38006,14437,3802,1764
339,0,50,41,52712,104829,10496,26088,10985,22096,2922,1365
340,0,34,44,164544,61030,39576,2768,4882,4084,112,453
341,0,27,17,121596,308074,14219,10406,10536,10624,2762,1205
342,0,20,1,1117373,318021,5475,13910,6569,8466,3271,3563
343,0,17,8,444286,26740,7716,12794,5171,6019,5929,3031
344,0,20,4,619636,58792,8546,16958,5701,4010,585,351
345,0,29,21,565267,145578,12141,58818,8032,19944,2903,1999
346,0,37,43,27303,48168,33125,9372,9577,4296,1580,1298
347,0,27,48,133164,38440,17488,20601,3347,3893,1750,1672
348,0,29,61,464341,25641,4317,59492,7145,5108,1474,2481
349,0,38,66,11553,13033,8573,6573,1328,6189,3790,1545
350,0,38,48,1819000,101933,2287,7694,9446,5421,1145,2680
351,0,40,24,236246,349977,16071,14450,33570,23980,2301,3803
352,0,24,10,53516,53019,10295,8800,2954,882,447,176
353,0,17,11,34700,16444,15527,6562,6538,4498,2390,1297
354,0,24,37,8092,19731,27964,10550,4204,6027,1240,3418
355,0,23,66,34983,26399,32153,32007,4667,4923,1379,1677
356,0,43,63,1394692,116537,17816,26185,39753,13905,4269,3194
357,0,30,57,578977,125975,45175,12869,14338,6170,1255,888
358,0,16,47,72705,83257,20741,11105,6991,2907,1076,348
359,0,21,23,397427,139696,22043,8163,29927,13833,3996,3442
360,0,13,34,39898,31376,16484,10340,4549,2153,2548,800
361,0,21,40,732070,3617,3054,3031,1915,793,165,109
362,0,27,54,630436,61819,109215,19168,9750,9146,2839,1865
363,0,34,57,131528,53537,15593,1303,8027,8419,3812,1272
364,0,27,51,76310,84704,21837,7596,4838,2383,1751,2373
365,0,29,44,128390,76026,27718,18124,18984,11401,3443,1544
366,0,27,38,208982,8079,4795,2982,1176,693,259,261
367,0,14,48,688932,48040,19099,16141,3574,2999,1243,1314
368,0,24,53,31159,67214,14637,41779,12230,7910,2027,1455
369,0,40,53,15152,6230,5618,6322,15240,6775,1930,1981
370,0,43,41,47153,75215,9866,11704,13089,5205,1628,1110
371,0,51,41,6164,31093,22366,4423,4672,5616,3351,1748
372,0,51,37,288689,37892,8750,12879,8112,3721,2187,1376
373,0,27,41,22383,46025,21827,17289,9851,3018,2780,1042
374,0,44,48,58352,13088,4002,7352,5240,7228,931,2165
375,0,44,40,25541,49969,7076,11591,8793,5659,2306,1834
376,0,44,51,48179,18698,21609,25376,9827,4607,1407,1167
377,0,61,38,17319,41298,6856,2222,6722,10755,1821,1938
378,0,51,43,46749,20944,20044,6434,4298,5154,3071,1323
379,0,61,41,14466,38024,6885,11892,22022,12715,1638,2399
380,0,64,24,402228,82497,7939,12713,8204,8353,2884,2209
381,0,57,44,27016,11364,24964,8848,13946,4133,1732,1398
382,0,53,41,265787,75783,30998,20354,2574,9166,1691,1119
383,0,48,50,128338,28327,14560,18175,6112,8367,1878,2795
384,0,44,67,149678,6121,8196,3285,2020,978,636,548
385,0,37,61,13661,35871,19223,9554,8510,3260,1068,739
386,0,48,60,10389,17669,2872,12449,6501,7420,3989,2973
387,0,38,44,13569,54957,9506,503,2453,3365,1831,2486
388,0,37,38,81408,16553,10130,1644,2153,1528,1295,252
389,0,34,38,480155,58485,20764,29243,4126,3804,821,624
390,0,21,40,1301746,103934,35513,29290,13618,9941,2583,1765
391,0,34,54,385930,26620,79093,40898,83298,28340,8209,1636
392,0,35,56,384167,64264,50722,12391,23092,8125,1009,2102
393,0,43,60,143318,50129,49618,36385,21071,10563,4124,2416
394,0,47,67,89830,21724,26533,10588,9194,5440,887,926
395,0,48,61,18928,29055,9698,13563,10771,11913,2974,766
396,0,50,66,1105552,37077,28157,37502,16988,7169,1467,2128
397,0,50,61,255977,5809,3541,2198,1943,869,277,154
398,0,44,47,624937,212529,27766,22476,10597,13339,5325,2061
399,0,35,57,68697,13339,19724,15949,4758,3926,2583,1683
400,0,34,57,198095,39075,49615,8009,8889,5599,1519,1293
401,0,29,53,649320,245474,50680,48637,5009,16489,3226,1452
402,0,29,61,692831,66664,35489,17414,19531,5947,1548,4923
403,0,27,50,31977,31563,14026,6255,4864,3628,1800,2390
404,0,27,40,16889,40805,13797,4380,11797,3467,708,1497
405,0,40,34,19622,19110,1533,5659,15328,4583,2017,1999
406,0,53,34,11710,9032,8592,2080,5222,3753,1824,1359
407,0,63,30,38827,21348,4700,7901,3242,7141,2783,1592
408,0,67,35,105423,49539,29175,6803,14882,8027,1649,3283
409,0,54,51,11034,25090,36235,8354,16520,3105,2487,2317
410,0,61,40,13748,11789,2085,1448,3083,5785,3320,1778
411,0,51,27,26754,64712,2911,7191,4004,5722,5701,2080
412,0,48,27,91790,18756,5064,5329,2895,1805,495,351
413,0,64,24,19024,12414,3689,11716,4868,6760,2426,1751
414,0,57,37,47175,18908,13284,5353,4895,7933,2553,1550
415,0,67,51,25920,10652,5240,7436,4810,4266,1446,2413
416,0,67,54,43149,46982,19915,20593,6147,5852,1165,1342
417,0,51,60,86139,48983,59776,32106,14558,5782,5386,2896
418,0,38,63,54516,12674,10397,3905,1704,1656,811,258
419,0,40,56,6904,15494,1600,6677,5730,5503,3889,1467
420,0,38,47,37556,44734,5941,3452,1418,3554,1748,2244
421,0,48,27,62583,22752,1910,5297,7812,2906,1404,896
422,0,50,20,30932,41687,9675,4973,4559,3724,2286,957
423,0,41,27,16074,32288,27519,9613,8875,6802,2334,1093
424,0,44,44,1896,10903,8330,12919,5982,3201,995,1579
425,0,38,43,21331,48613,1891,8871,5657,2935,554,1106
426,0,41,66,11176,5214,44476,20034,5003,7078,1471,1263
427,0,29,64,16703,49383,23126,11890,3183,2648,1669,1167
428,0,24,67,71882,16262,24327,27696,8583,3774,1416,2252
429,0,35,81,35094,20799,16786,9138,6558,6273,1819,2295
430,0,30,51,62741,38694,5878,2302,8498,3338,1703,1043
431,0,50,54,340575,13376,13949,10426,7769,7185,2935,677
432,0,64,44,27434,26058,16116,9025,6326,11383,2533,1590
433,0,57,60,10642,3776,16145,20632,3818,2620,1695,1880
434,0,61,50,80268,58677,4451,523,10020,7093,1299,2098
435,0,47,56,48545,25577,41073,14286,5977,3086,3334,3597
436,0,41,50,10573,24259,8174,2043,5599,5222,2000,1751
437,0,54,34,7247,3704,5255,1359,2092,2605,1765,2040
